,failureType
44272,Loc
28430,Edge-Ring
44646,Loc
56622,Near-full
42695,Loc
43713,Loc
4667,Center
90101,Scratch
49156,Loc
88187,Scratch
60037,Near-full
76356,Random
90343,Scratch
61937,Near-full
50583,Loc
528,Center
69514,Random
6615,Center
34787,Edge-Ring
41763,Loc
47520,Loc
21433,Edge-Loc
65895,Near-full
35693,Edge-Ring
10373,Center
58860,Near-full
32070,Edge-Ring
69612,Random
1948,Center
64996,Near-full
30972,Edge-Ring
15390,Edge-Loc
56605,Near-full
8813,Center
87222,Scratch
53843,Loc
84781,Scratch
4415,Center
93975,Scratch
52029,Loc
81525,Scratch
3436,Center
56465,Near-full
41383,Loc
35993,Edge-Ring
38481,Edge-Ring
88017,Scratch
54482,Near-full
28131,Edge-Ring
33712,Edge-Ring
25087,Edge-Loc
57130,Near-full
86192,Scratch
56397,Near-full
92008,Scratch
35958,Edge-Ring
36108,Edge-Ring
75506,Random
79476,Random
3447,Center
77580,Random
56360,Near-full
9071,Center
38204,Edge-Ring
1544,Center
27886,Edge-Ring
54343,Near-full
39443,Edge-Ring
35307,Edge-Ring
88650,Scratch
65346,Near-full
12729,Center
31487,Edge-Ring
45988,Loc
639,Center
17496,Edge-Loc
28658,Edge-Ring
42905,Loc
73454,Random
36114,Edge-Ring
16417,Edge-Loc
37658,Edge-Ring
50006,Loc
52851,Loc
58386,Near-full
73313,Random
81689,Scratch
78258,Random
10290,Center
80126,Random
19870,Edge-Loc
49633,Loc
64532,Near-full
18840,Edge-Loc
56741,Near-full
39395,Edge-Ring
42151,Loc
14244,Edge-Loc
46689,Loc
62976,Near-full
74589,Random
10477,Center
67183,Near-full
60086,Near-full
90094,Scratch
43538,Loc
77178,Random
36976,Edge-Ring
70793,Random
1253,Center
69370,Random
51756,Loc
72472,Random
60187,Near-full
90246,Scratch
19961,Edge-Loc
8819,Center
49559,Loc
51467,Loc
2877,Center
77221,Random
69676,Random
82127,Scratch
14606,Edge-Loc
16817,Edge-Loc
88339,Scratch
50080,Loc
26140,Edge-Loc
28985,Edge-Ring
37974,Edge-Ring
26864,Edge-Loc
1757,Center
80067,Random
62537,Near-full
38788,Edge-Ring
15600,Edge-Loc
61983,Near-full
53038,Loc
63357,Near-full
74599,Random
74945,Random
46579,Loc
83658,Scratch
89722,Scratch
60421,Near-full
59664,Near-full
6454,Center
63275,Near-full
34616,Edge-Ring
13957,Edge-Loc
33548,Edge-Ring
21656,Edge-Loc
61317,Near-full
24419,Edge-Loc
20375,Edge-Loc
78650,Random
45366,Loc
17245,Edge-Loc
86071,Scratch
73901,Random
36692,Edge-Ring
18327,Edge-Loc
47070,Loc
61111,Near-full
441,Center
25936,Edge-Loc
3044,Center
43564,Loc
78634,Random
88823,Scratch
93057,Scratch
68154,Random
4918,Center
31824,Edge-Ring
75069,Random
39264,Edge-Ring
44092,Loc
71442,Random
63712,Near-full
36109,Edge-Ring
83424,Scratch
38970,Edge-Ring
91257,Scratch
36411,Edge-Ring
2388,Center
87476,Scratch
51937,Loc
36689,Edge-Ring
30438,Edge-Ring
82071,Scratch
66246,Near-full
11287,Center
94276,Scratch
60240,Near-full
65306,Near-full
39360,Edge-Ring
69199,Random
45478,Loc
59032,Near-full
13720,Edge-Loc
42906,Loc
33615,Edge-Ring
81950,Scratch
43723,Loc
51987,Loc
92130,Scratch
14049,Edge-Loc
4499,Center
28133,Edge-Ring
5004,Center
22114,Edge-Loc
12582,Center
38399,Edge-Ring
44885,Loc
20462,Edge-Loc
53482,Loc
42205,Loc
29087,Edge-Ring
48360,Loc
86803,Scratch
7459,Center
44672,Loc
65352,Near-full
86065,Scratch
71106,Random
5975,Center
29525,Edge-Ring
40690,Loc
48578,Loc
14962,Edge-Loc
60862,Near-full
72772,Random
25557,Edge-Loc
77916,Random
9192,Center
45677,Loc
4107,Center
9824,Center
54120,Near-full
30252,Edge-Ring
18812,Edge-Loc
41045,Loc
7760,Center
44784,Loc
86697,Scratch
66551,Near-full
84879,Scratch
44583,Loc
51835,Loc
22842,Edge-Loc
64753,Near-full
27563,Edge-Ring
40600,Loc
88408,Scratch
1153,Center
46175,Loc
86745,Scratch
73450,Random
52059,Loc
45136,Loc
64432,Near-full
84164,Scratch
72633,Random
31944,Edge-Ring
39928,Edge-Ring
82381,Scratch
21289,Edge-Loc
24841,Edge-Loc
70482,Random
15431,Edge-Loc
13587,Edge-Loc
24706,Edge-Loc
6986,Center
11069,Center
52883,Loc
73021,Random
20082,Edge-Loc
74096,Random
34543,Edge-Ring
65829,Near-full
34408,Edge-Ring
5292,Center
79630,Random
73403,Random
30255,Edge-Ring
46512,Loc
21128,Edge-Loc
36225,Edge-Ring
6825,Center
3699,Center
5832,Center
91621,Scratch
20846,Edge-Loc
56634,Near-full
66816,Near-full
66521,Near-full
70405,Random
80692,Random
23740,Edge-Loc
30055,Edge-Ring
89215,Scratch
78918,Random
87601,Scratch
76363,Random
11832,Center
80285,Random
13129,Center
77421,Random
69524,Random
6706,Center
20215,Edge-Loc
49190,Loc
16895,Edge-Loc
26087,Edge-Loc
70870,Random
72269,Random
21237,Edge-Loc
66391,Near-full
33931,Edge-Ring
35025,Edge-Ring
55223,Near-full
49226,Loc
72695,Random
39696,Edge-Ring
79335,Random
78665,Random
63889,Near-full
65064,Near-full
72604,Random
34005,Edge-Ring
52953,Loc
86335,Scratch
55619,Near-full
93676,Scratch
57570,Near-full
50503,Loc
26521,Edge-Loc
63734,Near-full
52740,Loc
18127,Edge-Loc
16304,Edge-Loc
39453,Edge-Ring
2663,Center
68054,Random
91109,Scratch
93630,Scratch
75517,Random
87363,Scratch
83308,Scratch
82108,Scratch
23375,Edge-Loc
38584,Edge-Ring
1586,Center
4224,Center
65236,Near-full
70295,Random
67112,Near-full
75945,Random
90479,Scratch
69730,Random
77334,Random
2241,Center
85559,Scratch
9483,Center
21782,Edge-Loc
42360,Loc
717,Center
67184,Near-full
50715,Loc
43555,Loc
30076,Edge-Ring
76081,Random
42624,Loc
22488,Edge-Loc
60182,Near-full
56026,Near-full
70381,Random
48277,Loc
72674,Random
8268,Center
6071,Center
92329,Scratch
38530,Edge-Ring
59305,Near-full
22502,Edge-Loc
10631,Center
74121,Random
77446,Random
35459,Edge-Ring
91666,Scratch
69405,Random
65046,Near-full
91569,Scratch
36460,Edge-Ring
50725,Loc
74046,Random
1981,Center
81765,Scratch
80352,Random
87051,Scratch
21853,Edge-Loc
30879,Edge-Ring
2500,Center
28432,Edge-Ring
27469,Edge-Ring
81538,Scratch
35263,Edge-Ring
22678,Edge-Loc
67622,Random
20451,Edge-Loc
90711,Scratch
78312,Random
41542,Loc
33101,Edge-Ring
4527,Center
45924,Loc
70703,Random
68132,Random
52807,Loc
8542,Center
61320,Near-full
82141,Scratch
27102,Edge-Ring
67290,Near-full
81182,Scratch
10796,Center
83606,Scratch
31374,Edge-Ring
63460,Near-full
92238,Scratch
27311,Edge-Ring
76793,Random
45574,Loc
3444,Center
36465,Edge-Ring
46559,Loc
20132,Edge-Loc
1188,Center
76937,Random
11859,Center
66394,Near-full
41908,Loc
14451,Edge-Loc
64241,Near-full
51396,Loc
31196,Edge-Ring
4408,Center
24096,Edge-Loc
74414,Random
16195,Edge-Loc
44488,Loc
79556,Random
24395,Edge-Loc
55179,Near-full
46243,Loc
58293,Near-full
74806,Random
15046,Edge-Loc
9818,Center
45973,Loc
74602,Random
66177,Near-full
232,Center
54574,Near-full
2156,Center
50399,Loc
27384,Edge-Ring
78160,Random
80856,Random
58685,Near-full
8026,Center
2896,Center
76301,Random
35190,Edge-Ring
8177,Center
3375,Center
45801,Loc
84100,Scratch
34100,Edge-Ring
7411,Center
50044,Loc
5279,Center
2862,Center
70146,Random
7691,Center
8932,Center
39146,Edge-Ring
26016,Edge-Loc
60056,Near-full
32853,Edge-Ring
29115,Edge-Ring
41957,Loc
55746,Near-full
29117,Edge-Ring
25621,Edge-Loc
93649,Scratch
93297,Scratch
36562,Edge-Ring
3223,Center
93293,Scratch
65668,Near-full
87154,Scratch
39324,Edge-Ring
31949,Edge-Ring
27231,Edge-Ring
21773,Edge-Loc
24641,Edge-Loc
52887,Loc
54428,Near-full
48640,Loc
90016,Scratch
76478,Random
87313,Scratch
43928,Loc
66911,Near-full
13376,Center
71476,Random
71104,Random
9091,Center
10937,Center
27484,Edge-Ring
53074,Loc
30634,Edge-Ring
88877,Scratch
57513,Near-full
10106,Center
16328,Edge-Loc
27667,Edge-Ring
63241,Near-full
84185,Scratch
64395,Near-full
54762,Near-full
57220,Near-full
5285,Center
40420,Edge-Ring
59155,Near-full
43908,Loc
91144,Scratch
73100,Random
8823,Center
42723,Loc
27106,Edge-Ring
14720,Edge-Loc
72781,Random
71350,Random
86883,Scratch
15795,Edge-Loc
78543,Random
18841,Edge-Loc
71423,Random
10616,Center
39308,Edge-Ring
86099,Scratch
30746,Edge-Ring
37783,Edge-Ring
75188,Random
59721,Near-full
59427,Near-full
46576,Loc
41987,Loc
17593,Edge-Loc
50376,Loc
9733,Center
63285,Near-full
26858,Edge-Loc
7292,Center
36918,Edge-Ring
15129,Edge-Loc
69792,Random
22747,Edge-Loc
78850,Random
66900,Near-full
14324,Edge-Loc
3638,Center
66858,Near-full
78426,Random
88265,Scratch
76043,Random
1983,Center
93538,Scratch
19722,Edge-Loc
25034,Edge-Loc
31092,Edge-Ring
48122,Loc
59984,Near-full
89230,Scratch
91208,Scratch
50604,Loc
66454,Near-full
62304,Near-full
52842,Loc
62054,Near-full
70535,Random
66718,Near-full
83607,Scratch
77936,Random
9255,Center
47302,Loc
11540,Center
91881,Scratch
34746,Edge-Ring
23175,Edge-Loc
39794,Edge-Ring
85991,Scratch
72229,Random
74146,Random
91721,Scratch
86554,Scratch
51070,Loc
90052,Scratch
15084,Edge-Loc
31004,Edge-Ring
8365,Center
54488,Near-full
83290,Scratch
26305,Edge-Loc
92942,Scratch
11852,Center
37339,Edge-Ring
25458,Edge-Loc
18314,Edge-Loc
30220,Edge-Ring
41079,Loc
29765,Edge-Ring
40561,Loc
27366,Edge-Ring
51306,Loc
93563,Scratch
31673,Edge-Ring
90531,Scratch
53862,Loc
71087,Random
753,Center
3422,Center
59631,Near-full
87624,Scratch
46169,Loc
19196,Edge-Loc
41733,Loc
55771,Near-full
8343,Center
14836,Edge-Loc
32722,Edge-Ring
46751,Loc
25905,Edge-Loc
48057,Loc
69721,Random
50140,Loc
69375,Random
2884,Center
7104,Center
14768,Edge-Loc
38887,Edge-Ring
13151,Center
65445,Near-full
38718,Edge-Ring
36133,Edge-Ring
83386,Scratch
26274,Edge-Loc
2301,Center
68223,Random
37138,Edge-Ring
42493,Loc
17920,Edge-Loc
57022,Near-full
38468,Edge-Ring
87321,Scratch
39312,Edge-Ring
62702,Near-full
50908,Loc
26504,Edge-Loc
15439,Edge-Loc
79251,Random
24063,Edge-Loc
3935,Center
12246,Center
54153,Near-full
42797,Loc
24731,Edge-Loc
15695,Edge-Loc
90169,Scratch
68644,Random
21775,Edge-Loc
42513,Loc
87011,Scratch
40409,Edge-Ring
72232,Random
13959,Edge-Loc
68186,Random
41349,Loc
30427,Edge-Ring
14820,Edge-Loc
291,Center
40377,Edge-Ring
50956,Loc
34581,Edge-Ring
89988,Scratch
4587,Center
57019,Near-full
16859,Edge-Loc
50515,Loc
92435,Scratch
80137,Random
63085,Near-full
84306,Scratch
68535,Random
58264,Near-full
14549,Edge-Loc
15342,Edge-Loc
26361,Edge-Loc
39969,Edge-Ring
21896,Edge-Loc
88827,Scratch
38634,Edge-Ring
72352,Random
70744,Random
93226,Scratch
33361,Edge-Ring
65956,Near-full
13120,Center
25040,Edge-Loc
9411,Center
60667,Near-full
43549,Loc
41095,Loc
58561,Near-full
24027,Edge-Loc
66012,Near-full
34506,Edge-Ring
40650,Loc
5227,Center
58695,Near-full
26442,Edge-Loc
8844,Center
15877,Edge-Loc
42196,Loc
63248,Near-full
53996,Near-full
1958,Center
76347,Random
21556,Edge-Loc
69939,Random
42429,Loc
11289,Center
9328,Center
37870,Edge-Ring
33372,Edge-Ring
79330,Random
40897,Loc
38973,Edge-Ring
6734,Center
31185,Edge-Ring
13837,Edge-Loc
28946,Edge-Ring
39489,Edge-Ring
44042,Loc
25610,Edge-Loc
39129,Edge-Ring
38397,Edge-Ring
32178,Edge-Ring
48822,Loc
15733,Edge-Loc
63031,Near-full
15815,Edge-Loc
43715,Loc
59179,Near-full
14406,Edge-Loc
84752,Scratch
15800,Edge-Loc
54010,Near-full
33486,Edge-Ring
22917,Edge-Loc
30874,Edge-Ring
79797,Random
48270,Loc
32373,Edge-Ring
89192,Scratch
52639,Loc
52521,Loc
19625,Edge-Loc
40631,Loc
42263,Loc
26183,Edge-Loc
85095,Scratch
62532,Near-full
22446,Edge-Loc
24534,Edge-Loc
7444,Center
83231,Scratch
68125,Random
4836,Center
42113,Loc
51887,Loc
33137,Edge-Ring
72875,Random
32164,Edge-Ring
15573,Edge-Loc
10819,Center
20395,Edge-Loc
93644,Scratch
33830,Edge-Ring
49916,Loc
74627,Random
58332,Near-full
83586,Scratch
24617,Edge-Loc
61538,Near-full
65595,Near-full
56544,Near-full
84966,Scratch
19362,Edge-Loc
63267,Near-full
91546,Scratch
57421,Near-full
54056,Near-full
84152,Scratch
53281,Loc
80710,Random
85880,Scratch
18899,Edge-Loc
754,Center
15321,Edge-Loc
10516,Center
86384,Scratch
56571,Near-full
1588,Center
68990,Random
87512,Scratch
33647,Edge-Ring
79174,Random
17220,Edge-Loc
63834,Near-full
62094,Near-full
54005,Near-full
89012,Scratch
14741,Edge-Loc
57159,Near-full
92710,Scratch
43546,Loc
52407,Loc
9852,Center
66385,Near-full
72833,Random
86710,Scratch
40366,Edge-Ring
40173,Edge-Ring
20000,Edge-Loc
77708,Random
28211,Edge-Ring
13650,Edge-Loc
75770,Random
23630,Edge-Loc
17429,Edge-Loc
27660,Edge-Ring
80044,Random
18143,Edge-Loc
24330,Edge-Loc
49791,Loc
36531,Edge-Ring
83908,Scratch
694,Center
45537,Loc
11692,Center
75794,Random
57443,Near-full
83336,Scratch
51704,Loc
15817,Edge-Loc
71086,Random
94034,Scratch
44217,Loc
5464,Center
86080,Scratch
10456,Center
30681,Edge-Ring
51096,Loc
86503,Scratch
60404,Near-full
78158,Random
48348,Loc
28501,Edge-Ring
19200,Edge-Loc
21581,Edge-Loc
33932,Edge-Ring
84369,Scratch
8848,Center
71343,Random
45948,Loc
81163,Scratch
36022,Edge-Ring
33639,Edge-Ring
53486,Loc
61679,Near-full
28247,Edge-Ring
20068,Edge-Loc
18469,Edge-Loc
81493,Scratch
20164,Edge-Loc
47999,Loc
2933,Center
5751,Center
22468,Edge-Loc
48719,Loc
1333,Center
43605,Loc
19281,Edge-Loc
44579,Loc
53909,Loc
45989,Loc
63583,Near-full
44011,Loc
42831,Loc
80811,Random
64455,Near-full
20796,Edge-Loc
79732,Random
90537,Scratch
73586,Random
74769,Random
78119,Random
49103,Loc
60042,Near-full
17606,Edge-Loc
28173,Edge-Ring
22426,Edge-Loc
82891,Scratch
31536,Edge-Ring
56296,Near-full
55756,Near-full
34571,Edge-Ring
29761,Edge-Ring
5667,Center
56299,Near-full
63482,Near-full
44472,Loc
49076,Loc
5700,Center
14264,Edge-Loc
93678,Scratch
76339,Random
2898,Center
22715,Edge-Loc
45710,Loc
32738,Edge-Ring
61841,Near-full
85462,Scratch
38510,Edge-Ring
47599,Loc
90622,Scratch
29350,Edge-Ring
72123,Random
31284,Edge-Ring
18811,Edge-Loc
10038,Center
62573,Near-full
52800,Loc
50385,Loc
55801,Near-full
67618,Random
59919,Near-full
23352,Edge-Loc
73336,Random
75578,Random
70309,Random
73873,Random
2939,Center
18851,Edge-Loc
59296,Near-full
37877,Edge-Ring
35438,Edge-Ring
67136,Near-full
20470,Edge-Loc
40668,Loc
5557,Center
77230,Random
10250,Center
76125,Random
54909,Near-full
33394,Edge-Ring
50386,Loc
84404,Scratch
35449,Edge-Ring
41404,Loc
76815,Random
27979,Edge-Ring
4700,Center
79863,Random
29391,Edge-Ring
19815,Edge-Loc
27773,Edge-Ring
93578,Scratch
4062,Center
3360,Center
60426,Near-full
25243,Edge-Loc
1291,Center
39921,Edge-Ring
54002,Near-full
81699,Scratch
80288,Random
67743,Random
73166,Random
36731,Edge-Ring
59486,Near-full
9110,Center
79934,Random
28378,Edge-Ring
7521,Center
1985,Center
85167,Scratch
31614,Edge-Ring
70524,Random
29939,Edge-Ring
77960,Random
53464,Loc
30668,Edge-Ring
50265,Loc
57190,Near-full
44504,Loc
9357,Center
88467,Scratch
30705,Edge-Ring
21612,Edge-Loc
93155,Scratch
5531,Center
42036,Loc
15058,Edge-Loc
73580,Random
41146,Loc
38826,Edge-Ring
3392,Center
66198,Near-full
39891,Edge-Ring
12364,Center
67538,Random
78834,Random
76800,Random
28481,Edge-Ring
58397,Near-full
87702,Scratch
46353,Loc
9766,Center
33242,Edge-Ring
7225,Center
23875,Edge-Loc
80049,Random
93637,Scratch
66590,Near-full
3918,Center
4307,Center
46036,Loc
76080,Random
58151,Near-full
14588,Edge-Loc
68345,Random
17785,Edge-Loc
70548,Random
17302,Edge-Loc
22126,Edge-Loc
2501,Center
41833,Loc
43023,Loc
68718,Random
36451,Edge-Ring
5798,Center
71968,Random
13178,Center
41379,Loc
41971,Loc
19646,Edge-Loc
6600,Center
45054,Loc
55433,Near-full
68935,Random
16923,Edge-Loc
34183,Edge-Ring
60062,Near-full
37868,Edge-Ring
79326,Random
3637,Center
92913,Scratch
414,Center
84234,Scratch
91674,Scratch
3660,Center
64270,Near-full
37024,Edge-Ring
73070,Random
88649,Scratch
6341,Center
38226,Edge-Ring
4503,Center
72699,Random
83239,Scratch
73888,Random
64299,Near-full
59110,Near-full
53971,Near-full
19537,Edge-Loc
62268,Near-full
51433,Loc
50782,Loc
37472,Edge-Ring
53914,Loc
73353,Random
13510,Edge-Loc
18946,Edge-Loc
65797,Near-full
53311,Loc
70591,Random
42009,Loc
76635,Random
76865,Random
5794,Center
46824,Loc
33369,Edge-Ring
10603,Center
57234,Near-full
65243,Near-full
79206,Random
68978,Random
53881,Loc
24714,Edge-Loc
24110,Edge-Loc
20059,Edge-Loc
69836,Random
75855,Random
90870,Scratch
24036,Edge-Loc
18003,Edge-Loc
29911,Edge-Ring
3183,Center
78395,Random
59575,Near-full
55592,Near-full
76995,Random
44035,Loc
30519,Edge-Ring
73355,Random
87540,Scratch
59692,Near-full
79170,Random
14662,Edge-Loc
43589,Loc
38972,Edge-Ring
6384,Center
88345,Scratch
46455,Loc
6167,Center
48043,Loc
7842,Center
13798,Edge-Loc
79238,Random
94256,Scratch
52964,Loc
64446,Near-full
48036,Loc
76089,Random
41911,Loc
4742,Center
87136,Scratch
39555,Edge-Ring
5724,Center
51193,Loc
86945,Scratch
65892,Near-full
65608,Near-full
36029,Edge-Ring
91975,Scratch
88090,Scratch
47480,Loc
19114,Edge-Loc
42784,Loc
90734,Scratch
49626,Loc
4605,Center
73570,Random
52258,Loc
60811,Near-full
4730,Center
27425,Edge-Ring
26113,Edge-Loc
53740,Loc
27146,Edge-Ring
48169,Loc
75175,Random
20645,Edge-Loc
94199,Scratch
77034,Random
63164,Near-full
25937,Edge-Loc
20106,Edge-Loc
43578,Loc
39037,Edge-Ring
30506,Edge-Ring
68242,Random
80999,Scratch
73052,Random
46162,Loc
78556,Random
61905,Near-full
36448,Edge-Ring
4281,Center
59735,Near-full
55195,Near-full
56800,Near-full
48281,Loc
8003,Center
78911,Random
88211,Scratch
11499,Center
60395,Near-full
48134,Loc
86735,Scratch
63535,Near-full
1137,Center
46354,Loc
19255,Edge-Loc
52308,Loc
50490,Loc
16466,Edge-Loc
1236,Center
81519,Scratch
34229,Edge-Ring
70679,Random
53475,Loc
64483,Near-full
66737,Near-full
44914,Loc
47957,Loc
73077,Random
22864,Edge-Loc
46577,Loc
19046,Edge-Loc
2586,Center
33840,Edge-Ring
80981,Scratch
57341,Near-full
32010,Edge-Ring
92527,Scratch
22895,Edge-Loc
73118,Random
13952,Edge-Loc
18218,Edge-Loc
58686,Near-full
49272,Loc
83104,Scratch
47877,Loc
46937,Loc
59255,Near-full
49753,Loc
10173,Center
8980,Center
25101,Edge-Loc
47800,Loc
26225,Edge-Loc
70747,Random
11037,Center
15939,Edge-Loc
87636,Scratch
94091,Scratch
84450,Scratch
597,Center
56236,Near-full
58749,Near-full
26976,Edge-Ring
18034,Edge-Loc
1503,Center
22620,Edge-Loc
54483,Near-full
47616,Loc
39669,Edge-Ring
82987,Scratch
14136,Edge-Loc
72628,Random
29156,Edge-Ring
53300,Loc
39231,Edge-Ring
52079,Loc
45615,Loc
62639,Near-full
6247,Center
50914,Loc
44996,Loc
12472,Center
83144,Scratch
39228,Edge-Ring
41873,Loc
15437,Edge-Loc
30822,Edge-Ring
46517,Loc
46522,Loc
92507,Scratch
65425,Near-full
69822,Random
29332,Edge-Ring
1766,Center
62520,Near-full
35863,Edge-Ring
52262,Loc
48206,Loc
77932,Random
31509,Edge-Ring
83200,Scratch
38500,Edge-Ring
17438,Edge-Loc
28672,Edge-Ring
68784,Random
85261,Scratch
91284,Scratch
29094,Edge-Ring
21861,Edge-Loc
56755,Near-full
86669,Scratch
41984,Loc
79626,Random
56246,Near-full
6724,Center
93746,Scratch
81223,Scratch
66924,Near-full
83345,Scratch
58411,Near-full
89557,Scratch
41328,Loc
47318,Loc
34389,Edge-Ring
86736,Scratch
71076,Random
57588,Near-full
12152,Center
87970,Scratch
47676,Loc
30097,Edge-Ring
48209,Loc
49028,Loc
25992,Edge-Loc
82837,Scratch
74593,Random
85163,Scratch
7583,Center
57062,Near-full
48782,Loc
49813,Loc
17548,Edge-Loc
3125,Center
51132,Loc
87876,Scratch
44971,Loc
35120,Edge-Ring
50350,Loc
44640,Loc
87302,Scratch
10445,Center
29799,Edge-Ring
27378,Edge-Ring
14299,Edge-Loc
74194,Random
59581,Near-full
11066,Center
45259,Loc
24839,Edge-Loc
14491,Edge-Loc
47977,Loc
63302,Near-full
87386,Scratch
45825,Loc
25500,Edge-Loc
34244,Edge-Ring
82580,Scratch
33159,Edge-Ring
2573,Center
47351,Loc
76826,Random
33155,Edge-Ring
13958,Edge-Loc
89181,Scratch
58657,Near-full
44013,Loc
23756,Edge-Loc
6867,Center
70248,Random
44663,Loc
49067,Loc
71706,Random
62803,Near-full
32916,Edge-Ring
30366,Edge-Ring
28900,Edge-Ring
29154,Edge-Ring
70393,Random
75502,Random
28919,Edge-Ring
30765,Edge-Ring
10571,Center
918,Center
7693,Center
83744,Scratch
78679,Random
56829,Near-full
22194,Edge-Loc
2565,Center
66214,Near-full
14563,Edge-Loc
47128,Loc
84347,Scratch
64110,Near-full
36833,Edge-Ring
19430,Edge-Loc
80752,Random
80926,Scratch
16658,Edge-Loc
36729,Edge-Ring
60109,Near-full
59348,Near-full
36583,Edge-Ring
6816,Center
23456,Edge-Loc
68226,Random
21700,Edge-Loc
34324,Edge-Ring
1172,Center
74447,Random
15783,Edge-Loc
57134,Near-full
87797,Scratch
82168,Scratch
85409,Scratch
91438,Scratch
57670,Near-full
53050,Loc
55989,Near-full
48432,Loc
80508,Random
61590,Near-full
43838,Loc
64363,Near-full
74113,Random
90779,Scratch
5870,Center
88368,Scratch
63939,Near-full
58504,Near-full
75893,Random
67133,Near-full
35319,Edge-Ring
34416,Edge-Ring
15692,Edge-Loc
8366,Center
11075,Center
21647,Edge-Loc
58000,Near-full
25918,Edge-Loc
83016,Scratch
10326,Center
21747,Edge-Loc
45469,Loc
71427,Random
41860,Loc
84738,Scratch
13052,Center
63949,Near-full
66190,Near-full
30465,Edge-Ring
46371,Loc
59442,Near-full
6363,Center
46159,Loc
87558,Scratch
48837,Loc
19118,Edge-Loc
24947,Edge-Loc
49015,Loc
19793,Edge-Loc
83284,Scratch
59676,Near-full
19060,Edge-Loc
89710,Scratch
88925,Scratch
27943,Edge-Ring
10325,Center
24232,Edge-Loc
46540,Loc
79136,Random
60476,Near-full
65389,Near-full
64310,Near-full
66757,Near-full
7941,Center
3934,Center
63496,Near-full
5739,Center
83829,Scratch
60110,Near-full
56945,Near-full
23764,Edge-Loc
50181,Loc
18166,Edge-Loc
62272,Near-full
46655,Loc
74154,Random
37181,Edge-Ring
65921,Near-full
38245,Edge-Ring
93916,Scratch
11699,Center
25104,Edge-Loc
49179,Loc
889,Center
85608,Scratch
29784,Edge-Ring
54420,Near-full
55014,Near-full
89314,Scratch
51273,Loc
64204,Near-full
39272,Edge-Ring
54166,Near-full
73673,Random
66777,Near-full
76798,Random
73891,Random
91714,Scratch
44458,Loc
55898,Near-full
58957,Near-full
77310,Random
11858,Center
53688,Loc
28494,Edge-Ring
27683,Edge-Ring
34540,Edge-Ring
64332,Near-full
53207,Loc
77360,Random
29464,Edge-Ring
87238,Scratch
957,Center
2991,Center
65312,Near-full
87456,Scratch
85552,Scratch
50333,Loc
15426,Edge-Loc
55347,Near-full
68497,Random
66656,Near-full
80407,Random
53533,Loc
62068,Near-full
76879,Random
23463,Edge-Loc
45754,Loc
15583,Edge-Loc
50356,Loc
56319,Near-full
90627,Scratch
6624,Center
64747,Near-full
43173,Loc
11594,Center
28351,Edge-Ring
86142,Scratch
3939,Center
39827,Edge-Ring
19102,Edge-Loc
86273,Scratch
89786,Scratch
93558,Scratch
52587,Loc
14349,Edge-Loc
43880,Loc
20817,Edge-Loc
46701,Loc
83615,Scratch
85721,Scratch
91175,Scratch
44265,Loc
30703,Edge-Ring
1378,Center
2852,Center
66676,Near-full
704,Center
67483,Random
57493,Near-full
76389,Random
11811,Center
20922,Edge-Loc
76060,Random
40175,Edge-Ring
66477,Near-full
76121,Random
67794,Random
17788,Edge-Loc
40005,Edge-Ring
1252,Center
44831,Loc
14733,Edge-Loc
29200,Edge-Ring
66693,Near-full
62203,Near-full
9195,Center
70358,Random
57554,Near-full
48784,Loc
40427,Edge-Ring
69574,Random
76250,Random
64349,Near-full
88468,Scratch
40729,Loc
69985,Random
81767,Scratch
39168,Edge-Ring
92094,Scratch
55169,Near-full
52189,Loc
80111,Random
28577,Edge-Ring
45201,Loc
52958,Loc
38412,Edge-Ring
78855,Random
69046,Random
66767,Near-full
29111,Edge-Ring
28083,Edge-Ring
35019,Edge-Ring
44160,Loc
27876,Edge-Ring
55384,Near-full
59840,Near-full
87760,Scratch
82016,Scratch
31609,Edge-Ring
42156,Loc
67638,Random
15361,Edge-Loc
83891,Scratch
8385,Center
71482,Random
6915,Center
25877,Edge-Loc
74703,Random
54155,Near-full
38501,Edge-Ring
2317,Center
56607,Near-full
79233,Random
47221,Loc
7677,Center
31275,Edge-Ring
86534,Scratch
8855,Center
42118,Loc
65293,Near-full
2691,Center
90336,Scratch
80775,Random
68547,Random
76626,Random
43933,Loc
17602,Edge-Loc
81666,Scratch
40834,Loc
75412,Random
22435,Edge-Loc
31505,Edge-Ring
93420,Scratch
25343,Edge-Loc
28267,Edge-Ring
19403,Edge-Loc
24100,Edge-Loc
3030,Center
17854,Edge-Loc
93880,Scratch
54098,Near-full
33158,Edge-Ring
31667,Edge-Ring
85629,Scratch
90689,Scratch
51004,Loc
50099,Loc
10051,Center
86303,Scratch
80910,Random
49843,Loc
13164,Center
18210,Edge-Loc
36178,Edge-Ring
50642,Loc
24426,Edge-Loc
52738,Loc
61484,Near-full
87962,Scratch
32199,Edge-Ring
55884,Near-full
73886,Random
23908,Edge-Loc
45960,Loc
53921,Loc
20039,Edge-Loc
59522,Near-full
67292,Near-full
56054,Near-full
18125,Edge-Loc
89935,Scratch
92637,Scratch
31057,Edge-Ring
35287,Edge-Ring
79146,Random
82325,Scratch
27619,Edge-Ring
49465,Loc
89434,Scratch
22155,Edge-Loc
9227,Center
37390,Edge-Ring
